mode,width,height,window_size,C,mpi_processes,omp_threads,time_seconds
mpi1_omp1,600,397,15,5,1,1,0.0126847
mpi1_omp2,600,397,15,5,1,2,0.00855214
mpi1_omp3,600,397,15,5,1,3,0.00704383
mpi1_omp4,600,397,15,5,1,4,0.00654336
mpi2_omp1,600,397,15,5,2,1,0.00951614
mpi2_omp2,600,397,15,5,2,2,0.0075091
mpi2_omp3,600,397,15,5,2,3,0.00698126
mpi2_omp4,600,397,15,5,2,4,0.0071837
mpi4_omp1,600,397,15,5,4,1,0.00981086
mpi4_omp2,600,397,15,5,4,2,0.00878075
mpi4_omp3,600,397,15,5,4,3,0.0087985
mpi4_omp4,600,397,15,5,4,4,0.0102669
mpi8_omp1,600,397,15,5,8,1,0.0097619
mpi8_omp2,600,397,15,5,8,2,0.0106537
mpi8_omp3,600,397,15,5,8,3,0.0113131
mpi8_omp4,600,397,15,5,8,4,0.010844
